# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1559193262.880139827728271,0.03108,0.00054,0.00117,0.00029,0.00111,0.00146,0.03565
1559193262.980243444442749,0.01058,0.00029,0.00063,0.00017,0.00220,0.00096,0.01483
1559193263.080161333084106,0.00772,0.00024,0.00025,0.00024,0.00000,0.00076,0.00921
1559193263.180136442184448,0.01341,0.00041,0.00093,0.00041,0.00075,0.00089,0.01680
1559193263.281469583511353,0.03290,0.00063,0.00077,0.00043,0.00028,0.00136,0.03637
1559193263.380301952362061,0.00895,0.00030,0.00054,0.00025,0.00272,0.00077,0.01353
1559193263.480256557464600,0.02093,0.00047,0.00052,0.00071,0.00026,0.00079,0.02368
1559193263.580259561538696,0.02656,0.00087,0.00256,0.00092,0.00040,0.00124,0.03256
1559193263.680271387100220,0.03487,0.00040,0.00115,0.00041,0.00000,0.00067,0.03749
1559193263.780182123184204,0.03624,0.00049,0.00316,0.00040,0.00253,0.00084,0.04366
1559193263.880127906799316,0.01308,0.00031,0.00042,0.00034,0.00000,0.00067,0.01482
1559193263.980150222778320,0.01859,0.00030,0.00046,0.00035,0.00006,0.00106,0.02080
1559193264.080173969268799,0.03734,0.00087,0.00065,0.00040,0.00031,0.00111,0.04069
1559193264.180312633514404,0.01322,0.00041,0.00100,0.00031,0.00148,0.00092,0.01734
1559193264.280303716659546,0.01821,0.00047,0.00063,0.00045,0.00027,0.00100,0.02104
1559193264.380559921264648,0.02417,0.00055,0.00064,0.00038,0.00015,0.00122,0.02712
1559193264.480237007141113,0.01339,0.00040,0.00122,0.00030,0.00182,0.00088,0.01800
1559193264.580403804779053,0.02600,0.00069,0.00247,0.00047,0.00000,0.00109,0.03073
1559193264.680497407913208,0.01296,0.00044,0.00199,0.00032,0.00102,0.00079,0.01751
1559193264.780792951583862,0.01579,0.00049,0.00066,0.00048,0.00115,0.00147,0.02003
1559193264.880627632141113,0.01661,0.00055,0.00191,0.00063,0.00150,0.00139,0.02258
1559193264.980566740036011,0.01763,0.00052,0.00128,0.00051,0.00108,0.00122,0.02224
1559193265.083105564117432,0.00750,0.00025,0.00062,0.00021,0.00007,0.00071,0.00936
1559193265.180863142013550,0.02161,0.00061,0.00238,0.00056,0.00022,0.00125,0.02663
1559193265.281013011932373,0.01548,0.00044,0.00379,0.00042,0.00137,0.00094,0.02245
1559193265.381196260452271,0.02576,0.00053,0.00187,0.00050,0.00116,0.00103,0.03085
1559193265.481094360351562,0.02799,0.00044,0.00120,0.00053,0.00000,0.00097,0.03113
1559193265.581151008605957,0.02317,0.00052,0.00128,0.00065,0.00000,0.00128,0.02690
1559193265.681242942810059,0.02103,0.00064,0.00128,0.00057,0.00269,0.00090,0.02712
1559193265.781334877014160,0.01248,0.00040,0.00075,0.00080,0.00031,0.00107,0.01581
1559193265.881370067596436,0.01169,0.00047,0.00126,0.00062,0.00029,0.00074,0.01507
